Plug_ID,Species,Treatment,Timepoint,Sample_Date,ColorScore,PhotoTP,PhotoDate,Notes
1168,Pacuta,HTHC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1169,Pacuta,HTHC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1177,Pacuta,HTHC,11,20181215,-72.43698869,Time12,20181214,
1178,Mcapitata,HTHC,11,20181215,12.26497667,Time12,20181214,
1184,Pacuta,HTHC,8,20181020,7.75306714,Time4,20181018,
1196,Mcapitata,ATAC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1204,Mcapitata,ATHC,10,20181117,5.82111763,Time8,20181116,
1205,Pacuta,ATHC,10,20181117,14.26898806,Time8,20181116,
1207,Pacuta,ATHC,1,20180922,NA,NA,NA,Sampled prior to photos taken
1212,Mcapitata,ATHC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1218,Mcapitata,ATHC,1,20180922,NA,NA,NA,Sampled prior to photos taken
1219,Pacuta,ATHC,3,20180922,NA,NA,NA,Sampled prior to photos taken
1220,Pacuta,ATHC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1221,Mcapitata,ATHC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1223,Mcapitata,ATHC,7,20181006,9.71984997,Time2,20181003,
1225,Pacuta,HTAC,10,20181117,-10.28053493,Time8,20181116,
1227,Pacuta,HTHC,3,20180922,NA,NA,NA,Sampled prior to photos taken
1229,Mcapitata,ATHC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1235,Mcapitata,HTAC,8,20181020,12.45714150,Time4,20181018,
1236,Mcapitata,HTAC,1,20180922,NA,NA,NA,Sampled prior to photos taken
1237,Mcapitata,ATHC,11,20181215,-4.88842632,Time12,20181214,
1238,Pacuta,HTHC,10,20181117,-59.71025042,Time8,20181116,
1239,Pacuta,HTHC,1,20180922,NA,NA,NA,Sampled prior to photos taken
1246,Mcapitata,HTHC,8,20181020,12.93281990,Time4,20181018,
1248,Mcapitata,HTAC,11,20181215,-13.94021013,Time12,20181214,
1250,Mcapitata,HTHC,7,20181006,10.77969827,Time2,20181005,
1254,Pacuta,ATHC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1260,Mcapitata,ATHC,8,20181020,5.33653846,Time4,20181018,
1269,Mcapitata,HTAC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1270,Mcapitata,HTHC,11,20181215,-49.08614354,Time12,20181214,
1274,Mcapitata,HTHC,12,20190112,14.18939550,Time16,20190111,
1277,Mcapitata,HTHC,3,20180922,NA,NA,NA,Sampled prior to photos taken
1278,Mcapitata,HTAC,7,20181006,14.84829642,Time2,20181005,
1281,Pacuta,ATHC,7,20181006,NA,Time6,20181102,
1289,Mcapitata,HTAC,3,20180922,NA,NA,NA,Sampled prior to photos taken
1296,Pacuta,ATHC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1302,Pacuta,HTAC,9,20181103,3.51053511,Time6,20181102,
1303,Pacuta,HTAC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1306,Mcapitata,HTAC,9,20181103,14.79221691,Time6,20181102,
1315,Mcapitata,HTAC,10,20181117,14.55357803,Time8,20181116,
1317,Mcapitata,HTHC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1321,Mcapitata,HTAC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1323,Mcapitata,HTHC,1,20180922,NA,NA,NA,Sampled prior to photos taken
1328,Mcapitata,HTHC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1329,Pacuta,HTAC,8,20181020,2.90456588,Time4,20181018,
1330,Pacuta,HTAC,6,20180929,NA,NA,NA,Sampled prior to photos taken
1331,Mcapitata,HTHC,9,20181103,12.06696186,Time6,20181102,
1332,Mcapitata,HTHC,10,20181117,-10.57031825,Time8,20181116,
1343,Pacuta,HTHC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1345,Mcapitata,HTHC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1415,Pacuta,HTHC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1416,Pacuta,HTHC,11,20181215,-92.70416616,Time12,20181214,
1418,Pacuta,HTHC,3,20180922,NA,NA,NA,Sampled prior to photos taken
